latitud;longitud;nombre;;direccion
4.73855;-75.91544;LOS OPTIMOTOS SAS;;CRA 4 15-03
3.52615;-76.30175;LOS OPTIMOTOS SAS;;CRA 31 28-66
4.74908;-75.91649;SUKY MOTO S.A.;;CARRERA 5 # 14-83
3.4322;-76.53907;JL & RB SAS - ELECTROMILLONARIA;;AV ROOSEVELT # 28 - 44
3.45546;-76.53097;MOTOS COLOMBIA;;CARRERA 1 # 42 - 91
3.25372;-76.22902;ELECTROJAPONESA - ELECTRODOMESTICOS LASSER;;Carrera 6 #10-38
3.44236;-76.52651;SUKIPARTES TIENDA SUPER STORE ;;Carrera 15 # 13 a - 116
3.43036;-76.5195;JL & RB SAS - ELECTROMILLONARIA SATELITE ;;CARRERA 27 #81-25
3.25112;-76.53689;JL & RB SAS - ELECTROMILLONARIA SATELITE ;;CALLE 9B # 51SUR-04
3.3239;-76.23591;DISTRIMOTOS FLORIDA ;;CALLE 9 # 18 - 27
3.45518;-76.52125;ALMACEN DEL GAS;;CC RIO CAUCA ZONA 6 LOCAL 58 -59
3.39793;-76.54071;GRUPO SUPERMOTOS S.A.S.;;Carrera 66 No. 10A-76
3.43283;-76.53875;GRUPO SUPERMOTOS S.A.S.;;Avenida Roosevelt No. 27-65
3.43066;-76.52649;GRUPO SUPERMOTOS S.A.S.;;Calle 16 No. 24-63
3.44432;-76.52642;GRUPO SUPERMOTOS S.A.S.;;Calle 4 No. 94-15
3.4944;-76.48626;SUZUKI MOTOR DE COLOMBIA S.A.  ;;Carrera 1 No. 23-01
3.26271;-76.53967;RUEDA MOTOS HERO;;Calle 12 No. 10 -34
3.4944;-76.48626;GRUPO UMA CARRERA 1;;Carrera 1 No. 23-75
3.47523;-76.4849;JL & RB SAS - ELECTROMILLONARIA;;CARRERA 1  # 22 - 35
3.52441;-76.292;SUMOTO S.A.;;Calle 28 No. 28-05
3.4388;-76.49568;GRUPO UMA ROOSEVELT ;;Calle 6A No. 25-12
3.46961;-76.50102;GRUPO UMA ÚNICO;;Calle 52 No. 3-29 Local 900A
